id,protein,pfam,keywords
P0DN20,U-actitoxin-Avd3s,PF00014,Disulfide bond;Ion channel impairing toxin;Nematocyst;Potassium channel impairing toxin;Protease inhibitor
P10646,Tissue factor pathway inhibitor,PF00014,3D-structure;Alternative splicing;Blood coagulation;Direct protein sequencing;Disulfide bond
P12111,Collagen alpha-3(VI) chain,"PF01391,PF00014,PF00092",3D-structure;Alternative splicing;Cell adhesion;Collagen;Congenital muscular dystrophy
P26226,Hemolymph trypsin inhibitor A,PF00014,Direct protein sequencing;Disulfide bond;Protease inhibitor;Serine protease inhibitor
P26227,Hemolymph trypsin inhibitor B,PF00014,Direct protein sequencing;Disulfide bond;Protease inhibitor;Serine protease inhibitor
P29216,Amyloid-beta precursor protein,PF00014,Alternative splicing;Amyloid;Cell membrane;Cell projection;Coated pit
P36992,Protein AMBP,"PF00014,PF00061",Chromophore;Cleavage on pair of basic residues;Disulfide bond;Glycoprotein;Protease inhibitor
P48307,Tissue factor pathway inhibitor 2,PF00014,3D-structure;Alternative splicing;Blood coagulation;Direct protein sequencing;Disulfide bond
P62756,Inter-alpha-trypsin inhibitor,PF00014,Direct protein sequencing;Disulfide bond;Glycoprotein;Protease inhibitor;Reference proteome
P62757,Inter-alpha-trypsin inhibitor,PF00014,Direct protein sequencing;Disulfide bond;Glycoprotein;Protease inhibitor;Reference proteome
P81906,Inducible serine protease inhibitor 2,PF00014,Direct protein sequencing;Disulfide bond;Protease inhibitor;Reference proteome;Serine protease inhibitor
P83606,Kunitz-type serine protease inhibitor 6,PF00014,Direct protein sequencing;Disulfide bond;Glycoprotein;Protease inhibitor;Repeat
P83609,Kunitz-type serine protease inhibitor A,PF00014,Direct protein sequencing;Disulfide bond;Glycoprotein;Protease inhibitor;Repeat
P86733,BPTI/Kunitz domain-containing protein,PF00014,Direct protein sequencing;Disulfide bond;Protease inhibitor;Repeat;Secreted
Q6T269,Kunitz-type serine protease inhibitor bitisilin-3,PF00014,Disulfide bond;Glycoprotein;Protease inhibitor;Repeat;Secreted
Q75S49,Kunitz-type serine protease inhibitor homolog beta-bungarotoxin B4 chain,PF00014,Disulfide bond;Neurotoxin;Presynaptic neurotoxin;Secreted;Signal
